TimeStamp,Posture,RakatCount,
23:30:24,Long Standing,4,,
23:30:44,Bowing,4,,
23:30:47,Short Standing,4,,
23:30:50,1st Prostration,4,,
23:30:55,Short Sitting,4,,
23:30:58,2nd Prostration,4,,
23:31:02,Long Standing,4,,
23:31:20,Bowing,4,,
23:31:24,Short Standing,4,,
23:31:27,1st Prostration,4,,
23:31:32,Short Sitting,4,,
23:31:35,2nd Prostration,4,,
23:31:39,Long Sitting,4,,
23:31:49,Long Standing,4,,
23:32:03,Bowing,4,,
23:32:08,Short Standing,4,,
23:32:11,1st Prostration,4,,
23:32:16,Short Sitting,4,,
23:32:19,2nd Prostration,4,,
23:32:23,Long Standing,4,,
23:32:35,Bowing,4,,
23:32:39,Short Standing,4,,
23:32:42,1st Prostration,4,,
23:32:47,Short Sitting,4,,
23:32:50,2nd Prostration,4,,
23:32:54,Long Sitting,4,,
23:33:13,End Namaz,4,,
