TimeStamp,Posture,RakatCount,
23:26:53,Long Standing,3,,
23:27:16,Bowing,3,,
23:27:21,Short Standing,3,,
23:27:23,1st Prostration,3,,
23:27:28,Short Sitting,3,,
23:27:31,2nd Prostration,3,,
23:27:35,Long Standing,3,,
23:27:53,Bowing,3,,
23:27:57,Short Standing,3,,
23:28:00,1st Prostration,3,,
23:28:05,Short Sitting,3,,
23:28:08,2nd Prostration,3,,
23:28:13,Long Sitting,3,,
23:28:22,Long Standing,3,,
23:28:33,Bowing,3,,
23:28:37,Short Standing,3,,
23:28:40,1st Prostration,3,,
23:28:46,Short Sitting,3,,
23:28:49,2nd Prostration,3,,
23:28:53,Long Sitting,3,,
23:29:09,End Namaz,3,,
