TimeStamp,Posture,RakatCount,
23:22:33,Long Standing,4,,
23:22:59,Bowing,4,,
23:23:05,Short Standing,4,,
23:23:08,1st Prostration,4,,
23:23:14,Short Sitting,4,,
23:23:17,2nd Prostration,4,,
23:23:21,Long Standing,4,,
23:23:38,Bowing,4,,
23:23:42,Short Standing,4,,
23:23:45,1st Prostration,4,,
23:23:50,Short Sitting,4,,
23:23:53,2nd Prostration,4,,
23:23:57,Long Sitting,4,,
23:24:06,Long Standing,4,,
23:24:19,Bowing,4,,
23:24:24,Short Standing,4,,
23:24:27,1st Prostration,4,,
23:24:33,Short Sitting,4,,
23:24:36,2nd Prostration,4,,
23:24:41,Long Standing,4,,
23:24:54,Bowing,4,,
23:24:58,Short Standing,4,,
23:25:01,1st Prostration,4,,
23:25:07,Short Sitting,4,,
23:25:10,2nd Prostration,4,,
23:25:14,Long Sitting,4,,
23:25:30,End Namaz,4,,
