TimeStamp,Posture,RakatCount,
23:16:57,Long Standing,4,,
23:17:15,Bowing,4,,
23:17:21,Short Standing,4,,
23:17:23,1st Prostration,4,,
23:17:29,Short Sitting,4,,
23:17:31,2nd Prostration,4,,
23:17:39,Long Standing,4,,
23:17:49,Bowing,4,,
23:17:53,Short Standing,4,,
23:17:56,1st Prostration,4,,
23:18:01,Short Sitting,4,,
23:18:04,2nd Prostration,4,,
23:18:10,Long Sitting,4,,
23:18:21,Long Standing,4,,
23:18:34,Bowing,4,,
23:18:38,Short Standing,4,,
23:18:41,1st Prostration,4,,
23:18:46,Short Sitting,4,,
23:18:49,2nd Prostration,4,,
23:18:55,Long Standing,4,,
23:19:08,Bowing,4,,
23:19:14,Short Standing,4,,
23:19:17,1st Prostration,4,,
23:19:22,Short Sitting,4,,
23:19:24,2nd Prostration,4,,
23:19:29,Long Sitting,4,,
23:19:53,End Namaz,4,,
