TimeStamp,Posture,RakatCount,
17:26:37,Long Standing,4,,
17:26:57,Bowing,4,,
17:27:02,Short Standing,4,,
17:27:04,1st Prostration,4,,
17:27:09,Short Sitting,4,,
17:27:11,2nd Prostration,4,,
17:27:18,Long Standing,4,,
17:27:35,Bowing,4,,
17:27:40,Short Standing,4,,
17:27:44,1st Prostration,4,,
17:27:47,Short Sitting,4,,
17:27:49,2nd Prostration,4,,
17:27:54,Long Sitting,4,,
17:28:04,Long Standing,4,,
17:28:15,Bowing,4,,
17:28:19,Short Standing,4,,
17:28:22,1st Prostration,4,,
17:28:26,Short Sitting,4,,
17:28:28,2nd Prostration,4,,
17:28:35,Long Standing,4,,
17:28:44,Bowing,4,,
17:28:48,Short Standing,4,,
17:28:50,1st Prostration,4,,
17:28:55,Short Sitting,4,,
17:28:58,2nd Prostration,4,,
17:29:02,Long Sitting,4,,
17:29:22,End Namaz,4,,
