TimeStamp,Posture,RakatCount,
17:31:30,Long Standing,3,,
17:31:50,Bowing,3,,
17:31:54,Short Standing,3,,
17:31:56,1st Prostration,3,,
17:32:01,Short Sitting,3,,
17:32:03,2nd Prostration,3,,
17:32:07,Long Standing,3,,
17:32:21,Bowing,3,,
17:32:25,Short Standing,3,,
17:32:28,1st Prostration,3,,
17:32:32,Short Sitting,3,,
17:32:34,2nd Prostration,3,,
17:32:39,Long Sitting,3,,
17:32:49,Long Standing,3,,
17:33:00,Bowing,3,,
17:33:04,Short Standing,3,,
17:33:09,1st Prostration,3,,
17:33:12,Short Sitting,3,,
17:33:14,2nd Prostration,3,,
17:33:18,Long Sitting,3,,
17:33:34,End Namaz,3,,
