TimeStamp,Posture,RakatCount,
22:49:19,Long Standing,4,,
22:49:39,Bowing,4,,
22:49:44,Short Standing,4,,
22:49:47,1st Prostration,4,,
22:49:53,Short Sitting,4,,
22:49:56,2nd Prostration,4,,
22:50:01,Long Standing,4,,
22:50:19,Bowing,4,,
22:50:23,Short Standing,4,,
22:50:26,1st Prostration,4,,
22:50:31,Short Sitting,4,,
22:50:34,2nd Prostration,4,,
22:50:38,Long Sitting,4,,
22:50:50,Long Standing,4,,
22:51:03,Bowing,4,,
22:51:07,Short Standing,4,,
22:51:10,1st Prostration,4,,
22:51:17,Short Sitting,4,,
22:51:20,2nd Prostration,4,,
22:51:25,Long Standing,4,,
22:51:40,Bowing,4,,
22:51:45,Short Standing,4,,
22:51:48,1st Prostration,4,,
22:51:53,Short Sitting,4,,
22:51:57,2nd Prostration,4,,
22:52:02,Long Sitting,4,,
22:52:25,End Namaz,4,,
