TimeStamp,Posture,RakatCount,
23:09:24,Long Standing,4,,
23:09:44,Bowing,4,,
23:09:48,Short Standing,4,,
23:09:51,1st Prostration,4,,
23:09:56,Short Sitting,4,,
23:09:59,2nd Prostration,4,,
23:10:03,Long Standing,4,,
23:10:19,Bowing,4,,
23:10:24,Short Standing,4,,
23:10:27,1st Prostration,4,,
23:10:32,Short Sitting,4,,
23:10:34,2nd Prostration,4,,
23:10:39,Long Sitting,4,,
23:10:54,Long Standing,4,,
23:11:09,Bowing,4,,
23:11:15,Short Standing,4,,
23:11:19,1st Prostration,4,,
23:11:24,Short Sitting,4,,
23:11:27,2nd Prostration,4,,
23:11:32,Long Standing,4,,
23:11:47,Bowing,4,,
23:11:53,Short Standing,4,,
23:11:56,1st Prostration,4,,
23:12:01,Short Sitting,4,,
23:12:05,2nd Prostration,4,,
23:12:09,Long Sitting,4,,
23:12:26,End Namaz,4,,
