TimeStamp,Posture,RakatCount,
23:05:00,Long Standing,3,,
23:05:19,Bowing,3,,
23:05:23,Short Standing,3,,
23:05:27,1st Prostration,3,,
23:05:31,Short Sitting,3,,
23:05:34,2nd Prostration,3,,
23:05:39,Long Standing,3,,
23:05:56,Bowing,3,,
23:06:00,Short Standing,3,,
23:06:03,1st Prostration,3,,
23:06:08,Short Sitting,3,,
23:06:11,2nd Prostration,3,,
23:06:16,Long Sitting,3,,
23:06:27,Long Standing,3,,
23:06:42,Bowing,3,,
23:06:47,Short Standing,3,,
23:06:51,1st Prostration,3,,
23:06:56,Short Sitting,3,,
23:06:58,2nd Prostration,3,,
23:07:04,Long Sitting,3,,
23:07:28,End Namaz,3,,
