TimeStamp,Posture,RakatCount,
22:59:16,Long Standing,4,,
22:59:36,Bowing,4,,
22:59:40,Short Standing,4,,
22:59:43,1st Prostration,4,,
22:59:49,Short Sitting,4,,
22:59:52,2nd Prostration,4,,
22:59:58,Long Standing,4,,
23:00:15,Bowing,4,,
23:00:20,Short Standing,4,,
23:00:24,1st Prostration,4,,
23:00:30,Short Sitting,4,,
23:00:33,2nd Prostration,4,,
23:00:39,Long Sitting,4,,
23:00:51,Long Standing,4,,
23:01:04,Bowing,4,,
23:01:09,Short Standing,4,,
23:01:13,1st Prostration,4,,
23:01:18,Short Sitting,4,,
23:01:20,2nd Prostration,4,,
23:01:26,Long Standing,4,,
23:01:42,Bowing,4,,
23:01:46,Short Standing,4,,
23:01:48,1st Prostration,4,,
23:01:54,Short Sitting,4,,
23:01:57,2nd Prostration,4,,
23:02:03,Long Sitting,4,,
23:02:26,End Namaz,4,,
