TimeStamp,Posture,RakatCount,
10:49:55,Long Standing,3,,
10:50:19,Bowing,3,,
10:50:23,Short Standing,3,,
10:50:26,1st Prostration,3,,
10:50:32,Short Sitting,3,,
10:50:34,2nd Prostration,3,,
10:50:38,Long Standing,3,,
10:51:04,Bowing,3,,
10:51:07,Short Standing,3,,
10:51:09,1st Prostration,3,,
10:51:14,Short Sitting,3,,
10:51:16,2nd Prostration,3,,
10:51:20,Long Sitting,3,,
10:51:29,Long Standing,3,,
10:51:42,Bowing,3,,
10:51:45,Short Standing,3,,
10:51:48,1st Prostration,3,,
10:51:51,Short Sitting,3,,
10:51:53,2nd Prostration,3,,
10:51:57,Long Sitting,3,,
10:52:18,End Namaz,3,,
