TimeStamp,Posture,RakatCount,
10:56:25,Long Standing,3,,
10:56:43,Bowing,3,,
10:56:46,Short Standing,3,,
10:56:48,1st Prostration,3,,
10:56:53,Short Sitting,3,,
10:56:55,2nd Prostration,3,,
10:56:59,Long Standing,3,,
10:57:15,Bowing,3,,
10:57:18,Short Standing,3,,
10:57:21,1st Prostration,3,,
10:57:25,Short Sitting,3,,
10:57:27,2nd Prostration,3,,
10:57:31,Long Sitting,3,,
10:57:40,Long Standing,3,,
10:57:56,Bowing,3,,
10:58:01,Short Standing,3,,
10:58:04,1st Prostration,3,,
10:58:08,Short Sitting,3,,
10:58:10,2nd Prostration,3,,
10:58:13,Long Sitting,3,,
10:58:33,End Namaz,3,,
