TimeStamp,Posture,RakatCount,
10:44:58,Long Standing,4,,
10:45:30,Bowing,4,,
10:45:33,Short Standing,4,,
10:45:39,1st Prostration,4,,
10:45:43,Short Sitting,4,,
10:45:44,2nd Prostration,4,,
10:45:49,Long Standing,4,,
10:46:10,Bowing,4,,
10:46:14,Short Standing,4,,
10:46:16,1st Prostration,4,,
10:46:22,Short Sitting,4,,
10:46:23,2nd Prostration,4,,
10:46:28,Long Sitting,4,,
10:46:40,Long Standing,4,,
10:46:59,Bowing,4,,
10:47:03,Short Standing,4,,
10:47:05,1st Prostration,4,,
10:47:09,Short Sitting,4,,
10:47:11,2nd Prostration,4,,
10:47:16,Long Standing,4,,
10:47:33,Bowing,4,,
10:47:36,Short Standing,4,,
10:47:38,1st Prostration,4,,
10:47:44,Short Sitting,4,,
10:47:46,2nd Prostration,4,,
10:47:49,Long Sitting,4,,
10:48:12,End Namaz,4,,
