TimeStamp,Posture,RakatCount,
22:44:39,Long Standing,3,,
22:45:01,Bowing,3,,
22:45:07,Short Standing,3,,
22:45:11,1st Prostration,3,,
22:45:14,Short Sitting,3,,
22:45:16,2nd Prostration,3,,
22:45:22,Long Standing,3,,
22:45:34,Bowing,3,,
22:45:38,Short Standing,3,,
22:45:41,1st Prostration,3,,
22:45:44,Short Sitting,3,,
22:45:47,2nd Prostration,3,,
22:45:52,Long Sitting,3,,
22:46:04,Long Standing,3,,
22:46:21,Bowing,3,,
22:46:24,Short Standing,3,,
22:46:26,1st Prostration,3,,
22:46:30,Short Sitting,3,,
22:46:32,2nd Prostration,3,,
22:46:37,Long Sitting,3,,
22:46:54,End Namaz,3,,
