TimeStamp,Posture,RakatCount,
22:40:42,Long Standing,4,,
22:40:57,Bowing,4,,
22:41:02,Short Standing,4,,
22:41:05,1st Prostration,4,,
22:41:08,Short Sitting,4,,
22:41:10,2nd Prostration,4,,
22:41:15,Long Standing,4,,
22:41:30,Bowing,4,,
22:41:34,Short Standing,4,,
22:41:38,1st Prostration,4,,
22:41:41,Short Sitting,4,,
22:41:43,2nd Prostration,4,,
22:41:47,Long Sitting,4,,
22:42:01,Long Standing,4,,
22:42:15,Bowing,4,,
22:42:19,Short Standing,4,,
22:42:23,1st Prostration,4,,
22:42:27,Short Sitting,4,,
22:42:30,2nd Prostration,4,,
22:42:35,Long Standing,4,,
22:42:50,Bowing,4,,
22:42:55,Short Standing,4,,
22:42:59,1st Prostration,4,,
22:43:03,Short Sitting,4,,
22:43:06,2nd Prostration,4,,
22:43:12,Long Sitting,4,,
22:43:38,End Namaz,4,,
