TimeStamp,Posture,RakatCount,
22:48:01,Long Standing,4,,
22:48:26,Bowing,4,,
22:48:30,Short Standing,4,,
22:48:33,1st Prostration,4,,
22:48:37,Short Sitting,4,,
22:48:39,2nd Prostration,4,,
22:48:43,Long Standing,4,,
22:48:56,Bowing,4,,
22:48:59,Short Standing,4,,
22:49:02,1st Prostration,4,,
22:49:06,Short Sitting,4,,
22:49:09,2nd Prostration,4,,
22:49:13,Long Sitting,4,,
22:49:22,Long Standing,4,,
22:49:33,Bowing,4,,
22:49:37,Short Standing,4,,
22:49:40,1st Prostration,4,,
22:49:43,Short Sitting,4,,
22:49:45,2nd Prostration,4,,
22:49:51,Long Standing,4,,
22:50:05,Bowing,4,,
22:50:09,Short Standing,4,,
22:50:13,1st Prostration,4,,
22:50:18,Short Sitting,4,,
22:50:21,2nd Prostration,4,,
22:50:27,Long Sitting,4,,
22:50:45,End Namaz,4,,
