TimeStamp,Posture,RakatCount,
22:36:49,Long Standing,4,,
22:37:07,Bowing,4,,
22:37:11,Short Standing,4,,
22:37:14,1st Prostration,4,,
22:37:18,Short Sitting,4,,
22:37:20,2nd Prostration,4,,
22:37:25,Long Standing,4,,
22:37:39,Bowing,4,,
22:37:43,Short Standing,4,,
22:37:46,1st Prostration,4,,
22:37:50,Short Sitting,4,,
22:37:52,2nd Prostration,4,,
22:37:56,Long Sitting,4,,
22:38:07,Long Standing,4,,
22:38:17,Bowing,4,,
22:38:21,Short Standing,4,,
22:38:23,1st Prostration,4,,
22:38:27,Short Sitting,4,,
22:38:28,2nd Prostration,4,,
22:38:33,Long Standing,4,,
22:38:44,Bowing,4,,
22:38:48,Short Standing,4,,
22:38:52,1st Prostration,4,,
22:38:56,Short Sitting,4,,
22:38:58,2nd Prostration,4,,
22:39:03,Long Sitting,4,,
22:39:20,End Namaz,4,,
