TimeStamp,Posture,RakatCount,
10:27:35,Long Standing,3,,
10:27:59,Bowing,3,,
10:28:02,Short Standing,3,,
10:28:05,1st Prostration,3,,
10:28:10,Short Sitting,3,,
10:28:13,2nd Prostration,3,,
10:28:19,Long Standing,3,,
10:28:39,Bowing,3,,
10:28:41,Short Standing,3,,
10:28:44,1st Prostration,3,,
10:28:47,Short Sitting,3,,
10:28:50,2nd Prostration,3,,
10:28:54,Long Sitting,3,,
10:29:05,Long Standing,3,,
10:29:17,Bowing,3,,
10:29:21,Short Standing,3,,
10:29:23,1st Prostration,3,,
10:29:28,Short Sitting,3,,
10:29:31,2nd Prostration,3,,
10:29:35,Long Sitting,3,,
10:30:00,End Namaz,3,,
