TimeStamp,Posture,RakatCount,
10:36:49,Long Standing,3,,
10:37:07,Bowing,3,,
10:37:12,Short Standing,3,,
10:37:15,1st Prostration,3,,
10:37:20,Short Sitting,3,,
10:37:22,2nd Prostration,3,,
10:37:29,Long Standing,3,,
10:37:45,Bowing,3,,
10:37:49,Short Standing,3,,
10:37:52,1st Prostration,3,,
10:37:57,Short Sitting,3,,
10:37:59,2nd Prostration,3,,
10:38:04,Long Sitting,3,,
10:38:20,Long Standing,3,,
10:38:38,Bowing,3,,
10:38:42,Short Standing,3,,
10:38:45,1st Prostration,3,,
10:38:50,Short Sitting,3,,
10:38:53,2nd Prostration,3,,
10:38:57,Long Sitting,3,,
10:39:21,End Namaz,3,,
