TimeStamp,Posture,RakatCount,
10:23:20,Long Standing,4,,
10:23:41,Bowing,4,,
10:23:45,Short Standing,4,,
10:23:48,1st Prostration,4,,
10:23:52,Short Sitting,4,,
10:23:54,2nd Prostration,4,,
10:23:59,Long Standing,4,,
10:24:16,Bowing,4,,
10:24:20,Short Standing,4,,
10:24:23,1st Prostration,4,,
10:24:27,Short Sitting,4,,
10:24:29,2nd Prostration,4,,
10:24:33,Long Sitting,4,,
10:24:44,Long Standing,4,,
10:24:56,Bowing,4,,
10:25:00,Short Standing,4,,
10:25:02,1st Prostration,4,,
10:25:07,Short Sitting,4,,
10:25:09,2nd Prostration,4,,
10:25:15,Long Standing,4,,
10:25:30,Bowing,4,,
10:25:33,Short Standing,4,,
10:25:36,1st Prostration,4,,
10:25:40,Short Sitting,4,,
10:25:42,2nd Prostration,4,,
10:25:45,Long Sitting,4,,
10:26:08,End Namaz,4,,
