TimeStamp,Posture,RakatCount,
15:28:05,Long Standing,4,,
15:28:30,Bowing,4,,
15:28:39,Short Standing,4,,
15:28:43,1st Prostration,4,,
15:28:47,Short Sitting,4,,
15:28:49,2nd Prostration,4,,
15:28:54,Long Standing,4,,
15:29:08,Bowing,4,,
15:29:14,Short Standing,4,,
15:29:18,1st Prostration,4,,
15:29:22,Short Sitting,4,,
15:29:24,2nd Prostration,4,,
15:29:28,Long Sitting,4,,
15:29:38,Long Standing,4,,
15:29:54,Bowing,4,,
15:30:01,Short Standing,4,,
15:30:04,1st Prostration,4,,
15:30:09,Short Sitting,4,,
15:30:10,2nd Prostration,4,,
15:30:16,Long Standing,4,,
15:30:32,Bowing,4,,
15:30:36,Short Standing,4,,
15:30:40,1st Prostration,4,,
15:30:46,Short Sitting,4,,
15:30:48,2nd Prostration,4,,
15:30:52,Long Sitting,4,,
15:31:11,End Namaz,4,,
