,angleX,angleY,angleZ,Time,Label
0,-5,-6,43,10:53:14,StartEnd
1,13,6,44,10:53:15,Long Standing
2,12,22,49,10:53:15,Long Standing
3,-25,25,18,10:53:15,Long Standing
4,-9,25,13,10:53:16,Long Standing
5,46,-27,48,10:53:16,Long Standing
6,44,-27,35,10:53:16,Long Standing
7,32,-10,0,10:53:16,Long Standing
8,45,-3,-3,10:53:17,Long Standing
9,39,-3,-6,10:53:17,Long Standing
10,46,-2,-1,10:53:18,Long Standing
11,47,-4,2,10:53:18,Long Standing
12,49,-5,1,10:53:19,Long Standing
13,45,-8,1,10:53:19,Long Standing
14,43,-2,1,10:53:19,Long Standing
15,45,-4,0,10:53:20,Long Standing
16,48,-2,-1,10:53:20,Long Standing
17,54,-5,0,10:53:20,Long Standing
18,48,-4,3,10:53:21,Long Standing
19,45,-1,-1,10:53:21,Long Standing
20,47,0,1,10:53:21,Long Standing
21,48,0,-1,10:53:21,Long Standing
22,48,0,-1,10:53:22,Long Standing
23,49,-5,0,10:53:22,Long Standing
24,50,-6,0,10:53:22,Long Standing
25,48,-3,0,10:53:23,Long Standing
26,47,-6,-2,10:53:23,Long Standing
27,48,-5,2,10:53:24,Long Standing
28,50,-6,1,10:53:24,Long Standing
29,48,-6,0,10:53:24,Long Standing
30,47,-7,0,10:53:24,Long Standing
31,49,-4,0,10:53:25,Long Standing
32,48,-5,2,10:53:25,Long Standing
33,49,-5,6,10:53:25,Long Standing
34,47,-5,3,10:53:25,Long Standing
35,48,-4,2,10:53:26,Long Standing
36,50,-3,2,10:53:26,Long Standing
37,50,-4,0,10:53:27,Long Standing
38,49,-4,0,10:53:27,Long Standing
39,48,-4,0,10:53:27,Long Standing
40,48,-4,0,10:53:28,Long Standing
41,44,-5,0,10:53:28,Long Standing
42,48,-3,2,10:53:28,Long Standing
43,50,-4,1,10:53:28,Long Standing
44,48,-5,0,10:53:29,Long Standing
45,47,-5,0,10:53:29,Long Standing
46,48,-5,-1,10:53:29,Long Standing
47,48,-4,1,10:53:29,Long Standing
48,50,-4,0,10:53:30,Long Standing
49,48,-6,-2,10:53:30,Long Standing
50,48,-4,0,10:53:30,Long Standing
51,47,-4,0,10:53:30,Long Standing
52,48,-6,0,10:53:31,Long Standing
53,50,-4,2,10:53:31,Long Standing
54,49,-6,1,10:53:31,Long Standing
55,47,-4,0,10:53:31,Long Standing
56,49,-4,0,10:53:32,Long Standing
57,48,-6,-1,10:53:32,Long Standing
58,48,-7,0,10:53:32,Long Standing
59,48,-5,0,10:53:32,Long Standing
60,49,-5,-1,10:53:33,Long Standing
61,49,-5,0,10:53:33,Long Standing
62,48,-6,3,10:53:33,Long Standing
63,49,-4,0,10:53:33,Long Standing
64,50,-2,-2,10:53:34,Long Standing
65,46,-4,0,10:53:34,Long Standing
66,49,-4,1,10:53:34,Long Standing
67,47,-5,-2,10:53:34,Long Standing
68,45,-4,0,10:53:35,Long Standing
69,49,-3,0,10:53:35,Long Standing
70,48,-4,0,10:53:35,Long Standing
71,48,-4,0,10:53:35,Long Standing
72,44,-3,-1,10:53:36,Long Standing
73,49,-1,0,10:53:36,Long Standing
74,49,-3,0,10:53:36,Long Standing
75,48,-4,-1,10:53:37,Long Standing
76,49,-2,-2,10:53:37,Long Standing
77,48,-3,-3,10:53:37,Long Standing
78,48,-3,-1,10:53:37,Long Standing
79,47,-2,-2,10:53:38,Long Standing
80,50,-2,0,10:53:38,Long Standing
81,49,-4,0,10:53:38,Long Standing
82,49,-4,0,10:53:38,Long Standing
83,49,-4,0,10:53:39,Long Standing
84,47,-4,0,10:53:39,Long Standing
85,39,-6,1,10:53:39,Long Standing
86,33,-26,-3,10:53:39,Long Standing
87,27,-49,-9,10:53:40,Bowing
88,12,-48,-16,10:53:40,Bowing
89,5,-43,-21,10:53:40,Bowing
90,-4,-49,-27,10:53:40,Bowing
91,-1,-42,-25,10:53:41,Bowing
92,0,-42,-22,10:53:41,Bowing
93,0,-43,-23,10:53:41,Bowing
94,1,-44,-22,10:53:41,Bowing
95,0,-44,-21,10:53:42,Bowing
96,1,-44,-21,10:53:42,Bowing
97,1,-43,-21,10:53:42,Bowing
98,9,-48,-22,10:53:42,Bowing
99,10,-31,-1,10:53:43,Short Standing
100,11,-49,4,10:53:43,Short Standing
101,23,-45,21,10:53:44,Short Standing
102,12,-46,1,10:53:44,Short Standing
103,9,-45,1,10:53:44,Short Standing
104,11,-45,2,10:53:44,Short Standing
105,7,-24,4,10:53:45,1st Prostration
106,5,-38,26,10:53:46,1st Prostration
107,3,-25,26,10:53:46,1st Prostration
108,19,-38,25,10:53:47,1st Prostration
109,23,-34,25,10:53:47,1st Prostration
110,21,-32,28,10:53:47,1st Prostration
111,20,-35,26,10:53:48,1st Prostration
112,19,-36,26,10:53:48,1st Prostration
113,20,-36,25,10:53:48,1st Prostration
114,21,-36,24,10:53:48,1st Prostration
115,19,-37,22,10:53:49,1st Prostration
116,19,-37,24,10:53:49,1st Prostration
117,20,-37,24,10:53:49,1st Prostration
118,20,-37,24,10:53:49,1st Prostration
119,21,-35,26,10:53:50,Short Sitting
120,21,-29,32,10:53:50,Short Sitting
121,-1,-20,26,10:53:50,Short Sitting
122,20,-30,35,10:53:51,Short Sitting
123,14,-25,36,10:53:51,Short Sitting
124,23,-21,36,10:53:51,Short Sitting
125,21,-21,39,10:53:51,Short Sitting
126,13,-10,43,10:53:52,2nd Prostration
127,4,-11,46,10:53:52,2nd Prostration
128,12,-30,33,10:53:52,2nd Prostration
129,17,-32,33,10:53:53,2nd Prostration
130,18,-34,30,10:53:53,2nd Prostration
131,17,-36,27,10:53:53,2nd Prostration
132,17,-37,26,10:53:53,2nd Prostration
133,16,-37,26,10:53:54,2nd Prostration
134,17,-37,26,10:53:54,2nd Prostration
135,18,-36,26,10:53:54,2nd Prostration
136,17,-37,26,10:53:54,2nd Prostration
137,18,-36,26,10:53:55,2nd Prostration
138,18,-36,26,10:53:55,2nd Prostration
139,15,-36,28,10:53:55,2nd Prostration
140,14,-36,25,10:53:55,2nd Prostration
141,16,-41,21,10:53:56,2nd Prostration
142,7,-42,12,10:53:56,2nd Prostration
143,15,-30,32,10:53:56,2nd Prostration
144,28,-23,27,10:53:57,Long Standing
145,25,-32,24,10:53:57,Long Standing
146,18,-32,19,10:53:57,Long Standing
147,34,-42,13,10:53:57,Long Standing
148,21,-30,6,10:53:58,Long Standing
149,31,-9,5,10:53:58,Long Standing
150,39,-7,1,10:53:58,Long Standing
151,48,-8,-2,10:53:59,Long Standing
152,50,0,-4,10:53:59,Long Standing
153,43,-2,-2,10:53:59,Long Standing
154,46,0,-3,10:54:00,Long Standing
155,49,0,-2,10:54:00,Long Standing
156,49,0,-2,10:54:00,Long Standing
157,45,1,-2,10:54:01,Long Standing
158,49,1,-2,10:54:01,Long Standing
159,45,2,-4,10:54:01,Long Standing
160,45,-5,4,10:54:02,Long Standing
161,49,-3,1,10:54:02,Long Standing
162,46,-3,8,10:54:02,Long Standing
163,49,-2,3,10:54:02,Long Standing
164,47,-4,0,10:54:03,Long Standing
165,49,-1,1,10:54:03,Long Standing
166,45,-1,6,10:54:03,Long Standing
167,45,-2,3,10:54:03,Long Standing
168,46,-1,0,10:54:04,Long Standing
169,48,-1,2,10:54:04,Long Standing
170,49,0,3,10:54:04,Long Standing
171,48,0,2,10:54:04,Long Standing
