,angleX,angleY,angleZ,Time,Label
0,5,-22,40,10:36:49,Long Standing
1,7,-25,43,10:36:49,Long Standing
2,6,-28,45,10:36:50,Long Standing
3,24,12,31,10:36:50,Long Standing
4,9,39,16,10:36:50,Long Standing
5,-10,41,24,10:36:51,Long Standing
6,-18,37,23,10:36:51,Long Standing
7,-19,29,16,10:36:51,Long Standing
8,47,-1,19,10:36:51,Long Standing
9,46,-8,34,10:36:52,Long Standing
10,30,-19,17,10:36:52,Long Standing
11,45,-2,0,10:36:52,Long Standing
12,40,-10,3,10:36:52,Long Standing
13,48,-5,3,10:36:53,Long Standing
14,49,-6,0,10:36:53,Long Standing
15,48,1,-5,10:36:54,Long Standing
16,47,-1,-1,10:36:54,Long Standing
17,49,-2,-1,10:36:54,Long Standing
18,48,0,0,10:36:55,Long Standing
19,49,0,0,10:36:55,Long Standing
20,48,0,0,10:36:55,Long Standing
21,49,1,0,10:36:55,Long Standing
22,50,0,-1,10:36:56,Long Standing
23,48,1,0,10:36:56,Long Standing
24,50,0,0,10:36:56,Long Standing
25,48,0,1,10:36:56,Long Standing
26,50,0,2,10:36:57,Long Standing
27,46,0,0,10:36:57,Long Standing
28,50,-3,0,10:36:57,Long Standing
29,50,-1,0,10:36:58,Long Standing
30,47,-4,0,10:36:58,Long Standing
31,46,-5,-1,10:36:58,Long Standing
32,50,-5,0,10:36:59,Long Standing
33,50,-5,0,10:36:59,Long Standing
34,47,-8,0,10:36:59,Long Standing
35,48,-6,1,10:36:59,Long Standing
36,48,-8,1,10:37:00,Long Standing
37,47,-9,0,10:37:00,Long Standing
38,48,-9,1,10:37:00,Long Standing
39,48,-9,1,10:37:00,Long Standing
40,48,-6,1,10:37:01,Long Standing
41,48,-5,0,10:37:01,Long Standing
42,49,-6,1,10:37:01,Long Standing
43,47,-7,0,10:37:01,Long Standing
44,48,-6,1,10:37:02,Long Standing
45,49,-6,2,10:37:02,Long Standing
46,48,-7,3,10:37:02,Long Standing
47,49,-7,4,10:37:02,Long Standing
48,47,-7,4,10:37:03,Long Standing
49,46,-6,3,10:37:03,Long Standing
50,48,-6,3,10:37:03,Long Standing
51,48,-6,3,10:37:03,Long Standing
52,48,-6,2,10:37:04,Long Standing
53,49,-6,4,10:37:04,Long Standing
54,48,-7,2,10:37:04,Long Standing
55,49,-4,2,10:37:04,Long Standing
56,43,-5,0,10:37:05,Long Standing
57,46,-6,1,10:37:05,Long Standing
58,48,-7,1,10:37:05,Long Standing
59,46,-7,1,10:37:05,Long Standing
60,48,-6,0,10:37:06,Long Standing
61,48,-6,0,10:37:06,Long Standing
62,48,-3,0,10:37:06,Long Standing
63,42,-4,0,10:37:06,Long Standing
64,43,-15,4,10:37:07,Bowing
65,33,-36,3,10:37:07,Bowing
66,23,-39,0,10:37:07,Bowing
67,14,-48,-23,10:37:08,Bowing
68,12,-42,-18,10:37:08,Bowing
69,11,-44,-17,10:37:08,Bowing
70,11,-44,-17,10:37:08,Bowing
71,10,-43,-17,10:37:09,Bowing
72,11,-44,-17,10:37:09,Bowing
73,12,-44,-16,10:37:09,Bowing
74,11,-44,-17,10:37:09,Bowing
75,12,-44,-18,10:37:10,Bowing
76,11,-44,-17,10:37:10,Bowing
77,12,-43,-16,10:37:10,Bowing
78,12,-45,-17,10:37:10,Bowing
79,16,-50,-16,10:37:11,Bowing
80,20,-44,-1,10:37:11,Bowing
81,19,-28,0,10:37:11,Bowing
82,33,-39,1,10:37:12,Short Standing
83,32,-36,7,10:37:12,Short Standing
84,22,-43,5,10:37:12,Short Standing
85,23,-42,4,10:37:12,Short Standing
86,25,-43,4,10:37:13,Short Standing
87,22,-43,3,10:37:13,Short Standing
88,21,-44,2,10:37:13,Short Standing
89,17,-40,-3,10:37:13,Short Standing
90,26,-36,9,10:37:14,Short Standing
91,29,-39,42,10:37:14,Short Standing
92,7,1,36,10:37:14,Short Standing
93,32,-42,45,10:37:15,1st Prostration
94,16,-31,23,10:37:15,1st Prostration
95,21,-42,42,10:37:15,1st Prostration
96,20,-9,44,10:37:15,1st Prostration
97,18,-10,42,10:37:16,1st Prostration
98,21,-9,42,10:37:16,1st Prostration
99,14,0,49,10:37:16,1st Prostration
100,21,-9,43,10:37:16,1st Prostration
101,21,-13,41,10:37:17,1st Prostration
102,20,-13,42,10:37:17,1st Prostration
103,20,-13,41,10:37:17,1st Prostration
104,21,-12,41,10:37:17,1st Prostration
105,21,-13,41,10:37:18,1st Prostration
106,22,-13,41,10:37:18,1st Prostration
107,21,-14,40,10:37:18,1st Prostration
108,25,-11,42,10:37:18,1st Prostration
109,24,-11,41,10:37:19,1st Prostration
110,23,-10,44,10:37:19,1st Prostration
111,21,-16,42,10:37:19,1st Prostration
112,21,-48,22,10:37:19,1st Prostration
113,24,-7,24,10:37:20,Short Sitting
114,10,-16,33,10:37:20,Short Sitting
115,12,-20,38,10:37:20,Short Sitting
116,18,-16,39,10:37:20,Short Sitting
117,20,-17,41,10:37:21,Short Sitting
118,20,-16,39,10:37:21,Short Sitting
119,17,-12,42,10:37:21,Short Sitting
120,9,-13,46,10:37:21,Short Sitting
121,12,-27,41,10:37:22,2nd Prostration
122,3,20,44,10:37:22,2nd Prostration
123,19,-10,44,10:37:22,2nd Prostration
124,16,-15,43,10:37:22,2nd Prostration
125,18,-17,41,10:37:23,2nd Prostration
126,17,-16,42,10:37:23,2nd Prostration
127,17,-17,41,10:37:23,2nd Prostration
128,17,-17,41,10:37:23,2nd Prostration
129,17,-17,41,10:37:24,2nd Prostration
130,17,-17,42,10:37:24,2nd Prostration
131,18,-17,41,10:37:24,2nd Prostration
132,18,-16,42,10:37:25,2nd Prostration
133,18,-15,42,10:37:25,2nd Prostration
134,18,-15,42,10:37:25,2nd Prostration
135,18,-15,42,10:37:25,2nd Prostration
136,18,-16,41,10:37:26,2nd Prostration
137,18,-15,41,10:37:26,2nd Prostration
138,18,-15,42,10:37:26,2nd Prostration
139,18,-16,41,10:37:26,2nd Prostration
140,18,-18,42,10:37:27,2nd Prostration
141,26,-23,36,10:37:27,2nd Prostration
142,20,-45,11,10:37:27,2nd Prostration
143,18,-38,10,10:37:27,2nd Prostration
144,10,-49,1,10:37:28,2nd Prostration
145,9,-42,21,10:37:28,2nd Prostration
146,28,-47,-3,10:37:28,2nd Prostration
147,38,-29,12,10:37:29,Long Standing
148,29,-11,13,10:37:29,Long Standing
149,24,-1,8,10:37:29,Long Standing
150,49,-13,0,10:37:30,Long Standing
151,50,-2,0,10:37:30,Long Standing
152,52,0,-5,10:37:30,Long Standing
153,46,1,-4,10:37:31,Long Standing
154,47,2,-5,10:37:31,Long Standing
155,49,2,-8,10:37:31,Long Standing
156,49,2,-4,10:37:31,Long Standing
157,48,3,-4,10:37:32,Long Standing
158,50,2,-3,10:37:32,Long Standing
159,49,1,-4,10:37:32,Long Standing
160,49,0,-3,10:37:32,Long Standing
161,48,2,-3,10:37:33,Long Standing
162,46,0,-5,10:37:33,Long Standing
163,48,2,-6,10:37:33,Long Standing
164,49,4,-4,10:37:33,Long Standing
165,48,3,-5,10:37:34,Long Standing
166,48,3,-5,10:37:34,Long Standing
167,48,3,-5,10:37:34,Long Standing
168,48,2,-4,10:37:34,Long Standing
169,49,2,-5,10:37:35,Long Standing
170,49,2,-5,10:37:35,Long Standing
171,48,2,-5,10:37:35,Long Standing
172,48,1,-5,10:37:35,Long Standing
173,49,1,-4,10:37:36,Long Standing
174,48,0,-5,10:37:36,Long Standing
175,48,0,-5,10:37:36,Long Standing
176,48,1,-5,10:37:36,Long Standing
177,48,1,-5,10:37:37,Long Standing
178,48,1,-5,10:37:37,Long Standing
179,47,1,-5,10:37:37,Long Standing
180,48,2,-6,10:37:37,Long Standing
181,48,2,-6,10:37:38,Long Standing
182,48,2,-5,10:37:38,Long Standing
183,48,2,-5,10:37:38,Long Standing
184,48,2,-5,10:37:38,Long Standing
185,48,2,-6,10:37:39,Long Standing
186,48,2,-6,10:37:39,Long Standing
187,49,2,-6,10:37:39,Long Standing
