,angleX,angleY,angleZ,Time,Label
0,2,-35,35,10:31:31,Long Standing
1,7,-32,36,10:31:31,Long Standing
2,2,-36,36,10:31:31,Long Standing
3,3,-26,34,10:31:32,Long Standing
4,30,-26,42,10:31:32,Long Standing
5,3,30,17,10:31:32,Long Standing
6,-11,38,23,10:31:33,Long Standing
7,-7,43,24,10:31:33,Long Standing
8,-7,33,16,10:31:33,Long Standing
9,20,12,13,10:31:33,Long Standing
10,46,-20,10,10:31:34,Long Standing
11,48,-10,-4,10:31:34,Long Standing
12,44,-14,0,10:31:34,Long Standing
13,48,-9,-1,10:31:35,Long Standing
14,47,-8,-3,10:31:35,Long Standing
15,46,-8,-3,10:31:35,Long Standing
16,50,-9,0,10:31:35,Long Standing
17,49,-10,-4,10:31:36,Long Standing
18,46,-9,0,10:31:36,Long Standing
19,47,-5,0,10:31:36,Long Standing
20,47,-7,0,10:31:36,Long Standing
21,50,-7,0,10:31:37,Long Standing
22,47,-7,0,10:31:37,Long Standing
23,47,-6,0,10:31:37,Long Standing
24,45,-10,0,10:31:37,Long Standing
25,45,-12,2,10:31:38,Long Standing
26,44,-14,3,10:31:38,Long Standing
27,44,-13,4,10:31:38,Long Standing
28,45,-14,3,10:31:38,Long Standing
29,45,-15,2,10:31:39,Long Standing
30,48,-15,4,10:31:39,Long Standing
31,46,-14,4,10:31:39,Long Standing
32,47,-14,3,10:31:39,Long Standing
33,46,-12,2,10:31:40,Long Standing
34,48,-10,1,10:31:40,Long Standing
35,47,-8,1,10:31:40,Long Standing
36,48,-11,1,10:31:40,Long Standing
37,46,-11,1,10:31:41,Long Standing
38,47,-10,2,10:31:41,Long Standing
39,47,-11,2,10:31:41,Long Standing
40,48,-11,2,10:31:41,Long Standing
41,47,-11,2,10:31:42,Long Standing
42,48,-11,1,10:31:42,Long Standing
43,47,-11,1,10:31:42,Long Standing
44,47,-11,0,10:31:42,Long Standing
45,48,-11,0,10:31:43,Long Standing
46,46,-12,0,10:31:43,Long Standing
47,48,-13,0,10:31:43,Long Standing
48,46,-11,0,10:31:43,Long Standing
49,48,-10,0,10:31:44,Long Standing
50,47,-10,1,10:31:44,Long Standing
51,46,-11,1,10:31:44,Long Standing
52,47,-11,2,10:31:44,Long Standing
53,47,-11,1,10:31:45,Long Standing
54,47,-12,1,10:31:45,Long Standing
55,46,-11,1,10:31:45,Long Standing
56,47,-11,2,10:31:45,Long Standing
57,47,-11,1,10:31:46,Long Standing
58,47,-10,2,10:31:46,Long Standing
59,48,-10,1,10:31:46,Long Standing
60,47,-11,1,10:31:46,Long Standing
61,47,-11,1,10:31:47,Long Standing
62,46,-11,0,10:31:47,Long Standing
63,47,-11,0,10:31:47,Long Standing
64,47,-11,0,10:31:47,Long Standing
65,47,-11,0,10:31:48,Long Standing
66,47,-11,0,10:31:48,Long Standing
67,47,-11,0,10:31:48,Long Standing
68,47,-11,0,10:31:48,Long Standing
69,47,-11,0,10:31:49,Long Standing
70,47,-12,0,10:31:49,Long Standing
71,47,-11,0,10:31:49,Long Standing
72,47,-12,0,10:31:49,Long Standing
73,38,-18,3,10:31:50,Long Standing
74,31,-43,0,10:31:50,Long Standing
75,21,-38,0,10:31:50,Long Standing
76,6,-47,-14,10:31:51,Bowing
77,6,-45,-14,10:31:51,Bowing
78,10,-47,-12,10:31:51,Bowing
79,8,-46,-13,10:31:52,Bowing
80,8,-47,-14,10:31:52,Bowing
81,8,-46,-14,10:31:52,Bowing
82,8,-47,-15,10:31:52,Bowing
83,8,-46,-14,10:31:53,Bowing
84,8,-45,-14,10:31:53,Bowing
85,7,-48,-14,10:31:53,Bowing
86,11,-48,-10,10:31:54,Short Standing
87,18,-44,-5,10:31:54,Short Standing
88,20,-33,1,10:31:54,Short Standing
89,18,-41,2,10:31:54,Short Standing
90,22,-41,4,10:31:55,Short Standing
91,23,-43,6,10:31:55,Short Standing
92,23,-43,6,10:31:55,Short Standing
93,17,-44,1,10:31:55,Short Standing
94,14,-42,-3,10:31:56,Short Standing
95,22,-47,16,10:31:56,Short Standing
96,23,-43,16,10:31:56,Short Standing
97,15,-24,28,10:31:56,Short Standing
