,angleX,angleY,angleZ,Time,Label
0,21,-32,32,15:11:30,StartEnd
1,21,-30,31,15:11:30,StartEnd
2,21,-29,31,15:11:30,StartEnd
3,20,-30,32,15:11:30,StartEnd
4,20,-29,32,15:11:31,StartEnd
5,20,-29,32,15:11:31,StartEnd
6,20,-30,31,15:11:31,StartEnd
7,20,-31,31,15:11:31,StartEnd
8,20,-30,30,15:11:32,Long Standing
9,20,-30,30,15:11:32,Long Standing
10,21,-31,31,15:11:32,Long Standing
11,22,-31,30,15:11:32,Long Standing
12,21,-31,31,15:11:33,Long Standing
13,27,-28,33,15:11:33,Long Standing
14,36,-16,19,15:11:33,Long Standing
15,26,17,0,15:11:33,Long Standing
16,7,29,7,15:11:34,Long Standing
17,0,44,23,15:11:34,Long Standing
18,-12,39,16,15:11:34,Long Standing
19,-6,35,13,15:11:34,Long Standing
20,44,-10,-16,15:11:35,Long Standing
21,43,-8,-16,15:11:35,Long Standing
22,45,-10,-16,15:11:35,Long Standing
23,45,-10,-16,15:11:36,Long Standing
24,45,-7,-17,15:11:36,Long Standing
25,46,-9,-18,15:11:36,Long Standing
26,45,-9,-17,15:11:36,Long Standing
27,48,-9,-12,15:11:37,Long Standing
28,42,-8,-17,15:11:37,Long Standing
29,40,3,-16,15:11:37,Long Standing
30,43,-4,-4,15:11:37,Long Standing
31,47,-2,-6,15:11:38,Long Standing
32,49,-3,-3,15:11:38,Long Standing
33,48,-3,-7,15:11:38,Long Standing
34,48,-4,-8,15:11:38,Long Standing
35,47,-4,-9,15:11:39,Long Standing
36,48,-5,-11,15:11:39,Long Standing
37,47,-5,-11,15:11:39,Long Standing
38,46,-6,-12,15:11:39,Long Standing
39,46,-6,-12,15:11:40,Long Standing
40,46,-7,-12,15:11:40,Long Standing
41,46,-7,-13,15:11:40,Long Standing
42,46,-7,-13,15:11:40,Long Standing
43,46,-7,-13,15:11:41,Long Standing
44,46,-7,-13,15:11:41,Long Standing
45,46,-7,-13,15:11:41,Long Standing
46,46,-7,-13,15:11:41,Long Standing
47,46,-7,-13,15:11:42,Long Standing
48,46,-7,-13,15:11:42,Long Standing
49,46,-7,-13,15:11:42,Long Standing
50,46,-7,-13,15:11:42,Long Standing
51,46,-7,-12,15:11:43,Long Standing
52,46,-7,-13,15:11:43,Long Standing
53,46,-7,-13,15:11:43,Long Standing
54,46,-7,-13,15:11:43,Long Standing
55,46,-7,-13,15:11:44,Long Standing
56,46,-7,-13,15:11:44,Long Standing
57,46,-7,-13,15:11:44,Long Standing
58,46,-7,-13,15:11:44,Long Standing
59,46,-8,-13,15:11:45,Long Standing
60,45,-7,-13,15:11:45,Long Standing
61,45,-7,-13,15:11:45,Long Standing
62,46,-7,-13,15:11:45,Long Standing
63,45,-7,-13,15:11:46,Long Standing
64,46,-7,-14,15:11:46,Long Standing
65,46,-8,-14,15:11:46,Long Standing
66,45,-8,-14,15:11:46,Long Standing
67,45,-8,-14,15:11:47,Long Standing
68,46,-7,-14,15:11:47,Long Standing
69,46,-7,-14,15:11:47,Long Standing
70,46,-8,-14,15:11:47,Long Standing
71,46,-7,-14,15:11:48,Long Standing
72,46,-7,-14,15:11:48,Long Standing
73,46,-8,-15,15:11:48,Long Standing
74,45,-8,-15,15:11:48,Long Standing
75,19,-21,-10,15:11:49,Long Standing
76,30,-50,-18,15:11:49,Long Standing
77,30,-50,-18,15:11:49,Long Standing
78,7,-48,-20,15:11:49,Long Standing
79,1,-43,-20,15:11:50,Long Standing
80,0,-44,-19,15:11:50,Long Standing
81,0,-45,-20,15:11:50,Long Standing
82,0,-46,-18,15:11:50,Long Standing
83,0,-46,-18,15:11:51,Bowing
84,0,-45,-18,15:11:51,Bowing
85,0,-45,-17,15:11:51,Bowing
86,3,-46,-16,15:11:51,Bowing
87,13,-35,-6,15:11:52,Bowing
88,26,-37,-1,15:11:52,Bowing
89,27,-37,1,15:11:53,Short Standing
90,29,-40,1,15:11:53,Short Standing
91,26,-41,0,15:11:53,Short Standing
92,23,-42,0,15:11:53,Short Standing
93,22,-42,-1,15:11:54,Short Standing
94,22,-11,2,15:11:54,Short Standing
95,42,-17,21,15:11:54,Short Standing
96,56,-26,40,15:11:54,Short Standing
97,29,-7,25,15:11:55,Short Standing
98,33,-13,33,15:11:55,Short Standing
99,35,-14,30,15:11:55,Short Standing
