TimeStamp,Posture,RakatCount,
22:25:51,Long Standing,3,,
22:26:09,Bowing,3,,
22:26:14,Short Standing,3,,
22:26:18,1st Prostration,3,,
22:26:22,Short Sitting,3,,
22:26:26,2nd Prostration,3,,
22:26:31,Long Standing,3,,
22:26:53,Bowing,3,,
22:26:58,Short Standing,3,,
22:27:02,1st Prostration,3,,
22:27:06,Short Sitting,3,,
22:27:09,2nd Prostration,3,,
22:27:13,Long Sitting,3,,
22:27:32,Long Standing,3,,
22:27:59,Bowing,3,,
22:28:01,Short Standing,3,,
22:28:05,1st Prostration,3,,
22:28:08,Short Sitting,3,,
22:28:10,2nd Prostration,3,,
22:28:14,Long Sitting,3,,
22:28:33,End Namaz,3,,
