TimeStamp,Posture,RakatCount,
22:29:35,Long Standing,4,,
22:29:54,Bowing,4,,
22:29:58,Short Standing,4,,
22:30:02,1st Prostration,4,,
22:30:06,Short Sitting,4,,
22:30:08,2nd Prostration,4,,
22:30:15,Long Standing,4,,
22:30:36,Bowing,4,,
22:30:44,Short Standing,4,,
22:30:48,1st Prostration,4,,
22:30:53,Short Sitting,4,,
22:30:56,2nd Prostration,4,,
22:31:00,Long Sitting,4,,
22:31:19,Long Standing,4,,
22:31:29,Bowing,4,,
22:31:34,Short Standing,4,,
22:31:37,1st Prostration,4,,
22:31:41,Short Sitting,4,,
22:31:44,2nd Prostration,4,,
22:31:49,Long Standing,4,,
22:32:00,Bowing,4,,
22:32:05,Short Standing,4,,
22:32:08,1st Prostration,4,,
22:32:12,Short Sitting,4,,
22:32:14,2nd Prostration,4,,
22:32:18,Long Sitting,4,,
22:32:34,End Namaz,4,,
