TimeStamp,Posture,RakatCount,
22:21:54,Long Standing,4,,
22:22:14,Bowing,4,,
22:22:21,Short Standing,4,,
22:22:24,1st Prostration,4,,
22:22:28,Short Sitting,4,,
22:22:31,2nd Prostration,4,,
22:22:35,Long Standing,4,,
22:22:55,Bowing,4,,
22:23:01,Short Standing,4,,
22:23:04,1st Prostration,4,,
22:23:08,Short Sitting,4,,
22:23:12,2nd Prostration,4,,
22:23:15,Long Sitting,4,,
22:23:28,Long Standing,4,,
22:23:43,Bowing,4,,
22:23:49,Short Standing,4,,
22:23:52,1st Prostration,4,,
22:23:57,Short Sitting,4,,
22:24:00,2nd Prostration,4,,
22:24:04,Long Standing,4,,
22:24:17,Bowing,4,,
22:24:23,Short Standing,4,,
22:24:27,1st Prostration,4,,
22:24:31,Short Sitting,4,,
22:24:34,2nd Prostration,4,,
22:24:40,Long Sitting,4,,
22:25:08,End Namaz,4,,
