TimeStamp,Posture,RakatCount,
83742,Long Standing,4,,
83761,Bowing,4,,
83765,Short Standing,4,,
83768,1st Prostration,4,,
83773,Short Sitting,4,,
83776,2nd Prostration,4,,
83780,Long Standing,4,,
83795,Bowing,4,,
83800,Short Standing,4,,
83803,1st Prostration,4,,
83808,Short Sitting,4,,
83811,2nd Prostration,4,,
83815,Long Sitting,4,,
83824,Long Standing,4,,
83836,Bowing,4,,
83839,Short Standing,4,,
83843,1st Prostration,4,,
83848,Short Sitting,4,,
83851,2nd Prostration,4,,
83857,Long Standing,4,,
83867,Bowing,4,,
83872,Short Standing,4,,
83874,1st Prostration,4,,
83879,Short Sitting,4,,
83881,2nd Prostration,4,,
83885,Long Sitting,4,,
83903,End Namaz,4,,
