TimeStamp,Posture,RakatCount,
82735,Long Standing,4,,
82758,Bowing,4,,
82764,Short Standing,4,,
82768,1st Prostration,4,,
82775,Short Sitting,4,,
82779,2nd Prostration,4,,
82784,Long Standing,4,,
82801,Bowing,4,,
82805,Short Standing,4,,
82808,1st Prostration,4,,
82814,Short Sitting,4,,
82817,2nd Prostration,4,,
82822,Long Sitting,4,,
82835,Long Standing,4,,
82858,Bowing,4,,
82864,Short Standing,4,,
82868,1st Prostration,4,,
82873,Short Sitting,4,,
82877,2nd Prostration,4,,
82882,Long Standing,4,,
82901,Bowing,4,,
82906,Short Standing,4,,
82909,1st Prostration,4,,
82913,Short Sitting,4,,
82916,2nd Prostration,4,,
82921,Long Sitting,4,,
82939,End Namaz,4,,
