TimeStamp,Posture,RakatCount,
83051,Long Standing,4,,
83069,Bowing,4,,
83073,Short Standing,4,,
83075,1st Prostration,4,,
83081,Short Sitting,4,,
83083,2nd Prostration,4,,
83087,Long Standing,4,,
83103,Bowing,4,,
83108,Short Standing,4,,
83111,1st Prostration,4,,
83116,Short Sitting,4,,
83120,2nd Prostration,4,,
83124,Long Sitting,4,,
83134,Long Standing,4,,
83147,Bowing,4,,
83152,Short Standing,4,,
83155,1st Prostration,4,,
83160,Short Sitting,4,,
83163,2nd Prostration,4,,
83168,Long Standing,4,,
83181,Bowing,4,,
83185,Short Standing,4,,
83189,1st Prostration,4,,
83193,Short Sitting,4,,
83196,2nd Prostration,4,,
83200,Long Sitting,4,,
83225,End Namaz,4,,
